Ciencia,"¿Qué unidad se utiliza para medir la intensidad de corriente eléctrica?",Amperio,Voltio,Ohmio,Vatio,0
Ciencia,"¿Qué tipo de animal es una ballena?",Pez,Reptil,Mamífero,Anfibio,2
Ciencia,"¿Qué es conocida como la 'unidad básica de la vida'?",Molécula,Átomo,Organelo,Célula,3
Ciencia,"¿Cuál es el planeta más grande del sistema solar?",Júpiter,Saturno,Urano,Neptuno,0
Ciencia,"¿Qué mineral es el más duro conocido por el hombre?",Cuarzo,Oro,Diamante,Grafito,2
Ciencia,"¿Qué órgano del cuerpo humano produce insulina?",Hígado,Riñón,Páncreas,Estómago,2
Ciencia,"¿Qué es el ADN?",Ácido desoxirribonucleico,Ácido ribonucleico,Adenina,Timina,0
Ciencia,"¿Qué fuerza mantiene a los planetas en órbita alrededor del Sol,Magnetismo,Gravedad,Electrostática,Fuerza Nuclear,1
Ciencia,"¿Qué enfermedad es causada por el virus de la inmunodeficiencia humana (VIH)?",SIDA,Gripe,Malaria,Tuberculosis,0
Ciencia,"¿Cuál es la velocidad de la luz en el vacío?",300000 km/s,150000 km/s,400000 km/s, 200000 km/s,0
Ciencia,"¿Qué planeta es conocido por sus enormes tormentas y manchas rojas?",Marte,Saturno,Júpiter,Venus,2
Ciencia,"¿Qué tipo de célula transporta oxígeno en la sangre?",Glóbulo blanco,Plaqueta,Glóbulo rojo,Célula madre,2
Ciencia,"¿Qué fenómeno meteorológico es medido por la escala de Richter?",Huracanes,Tornados,Inundaciones,Terremotos,3
Ciencia,"¿Qué tipo de onda es la luz?",Sonora,Sísmica,Electromagnética,Mecánica,2
Historia,"¿En qué año comenzó la Segunda Guerra Mundial?",1941,1939,1938,1945,1
Historia,"¿Quién fue el primer presidente de los Estados Unidos?",George Washington,Thomas Jefferson,Abraham Lincoln,John Adams,0
Historia,"¿Qué civilización construyó las pirámides de Giza ,Maya,Egipcia,Inca,Azteca,1
Historia,"¿En qué año cayó el Muro de Berlín?",1989,1987,1991,1985,0
Historia,"¿Quién descubrió América en 1492?",Hernán Cortés,Vasco da Gama,Cristóbal Colón,Fernando de Magallanes,2
Historia,"¿Qué país fue liderado por Adolf Hitler durante la Segunda Guerra Mundial?",Italia,Alemania,Japón,Francia,1
Historia,"¿Qué movimiento luchó por los derechos civiles de los afroamericanos en los Estados Unidos?",Movimiento por los Derechos Civiles,Movimiento Obrero,Movimiento Feminista,Movimiento Ecologista,0
Historia,"¿Qué emperador romano se convirtió al cristianismo y proclamó el Edicto de Milán?",Julio César,Nerón,Constantino,Augusto,2
Historia,"¿Qué tratado puso fin a la Primera Guerra Mundial?",Tratado de Tordesillas,Tratado de Versalles,Tratado de París,Tratado de Ginebra,1
Ciencia,"¿Quien fue el inventor de la bombilla?",Thomas Edison,Nikola Tesla,Albert Einstein,Isaac Newton,2
